Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
Braxton Berrios,NYJ,25,,16,2,55,37,67.3%,394,10.6,3,19,43,7.2,2.3,24.6,0
Chris Carson,SEA,26,RB,12,12,46,37,80.4%,287,7.8,4,14,29,6.2,3.1,23.9,1
Jared Cook,NOR,33,TE,15,5,60,37,61.7%,504,13.6,7,27,46,8.4,2.5,33.6,1
Rashard Higgins,CLE,26,wr,13,6,52,37,71.2%,599,16.2,4,26,43,11.5,2.8,46.1,3
Sammy Watkins,KAN,27,WR,10,9,55,37,67.3%,421,11.4,2,27,37,7.7,3.7,42.1,1
Clyde Edwards-Helaire,KAN,21,RB,13,13,54,36,66.7%,297,8.3,1,12,26,5.5,2.8,22.8,0
,,,,,,,,,,,,,,,,,
Tyler Eifert,JAX,30,,15,4,60,36,60.0%,349,9.7,2,22,28,5.8,2.4,23.3,0
Zach Ertz,PHI,30,TE,11,11,72,36,50.0%,335,9.3,1,16,42,4.7,3.3,30.5,0
Leonard Fournette,TAM,25,,13,3,47,36,76.6%,233,6.5,0,9,20,5.0,2.8,17.9,0
Antonio Gibson ,WAS,22,RB,14,10,44,36,81.8%,247,6.9,0,9,40,5.6,2.6,17.6,1
Jakeem Grant,MIA,28,,14,4,54,36,66.7%,373,10.4,1,22,30,6.9,2.6,26.6,2
