Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year,Category
Peyton Barber,TAM,25,rb,16,7,24,16,66.7%,115,7.2,1,4,16,4.8,1.0,7.2,1,2019,receiving
Jaron Brown,SEA,29,WR,14,4,28,16,57.1%,220,13.8,2,10,48,7.9,1.1,15.7,1,2019,receiving
Jesse James,DET,25,TE,16,11,27,16,59.3%,142,8.9,0,8,23,5.3,1.0,8.9,0,2019,receiving
Tim Patrick,DEN,26,,8,2,31,16,51.6%,218,13.6,0,14,38,7.0,2.0,27.3,0,2019,receiving
Chester Rogers,IND,25,wr,12,6,28,16,57.1%,179,11.2,2,11,27,6.4,1.3,14.9,2,2019,receiving
Ian Thomas,CAR,23,,16,3,30,16,53.3%,136,8.5,1,10,19,4.5,1.0,8.5,0,2019,receiving
Logan Thomas,DET,28,/te,16,3,28,16,57.1%,173,10.8,1,10,17,6.2,1.0,10.8,0,2019,receiving
Ameer Abdullah,MIN,26,,16,0,21,15,71.4%,88,5.9,1,5,16,4.2,0.9,5.5,1,2019,receiving
Ross Dwelley,SFO,24,te,16,6,22,15,68.2%,91,6.1,2,8,25,4.1,0.9,5.7,0,2019,receiving
Demetrius Harris,CLE,28,TE,15,6,27,15,55.6%,149,9.9,3,10,23,5.5,1.0,9.9,0,2019,receiving
Marcedes Lewis,GNB,35,TE,16,11,19,15,78.9%,156,10.4,1,8,25,8.2,0.9,9.8,0,2019,receiving
Tony Pollard,DAL,22,,15,0,20,15,75.0%,107,7.1,1,4,21,5.4,1.0,7.1,1,2019,receiving
Malik Turner,SEA,23,,15,3,22,15,68.2%,245,16.3,1,10,33,11.1,1.0,16.3,0,2019,receiving
Mark Walton,MIA,22,,7,4,21,15,71.4%,89,5.9,0,3,18,4.2,2.1,12.7,1,2019,receiving
Justin Watson,TAM,23,,16,2,26,15,57.7%,159,10.6,2,10,17,6.1,0.9,9.9,0,2019,receiving
Darrel Williams,KAN,24,,12,0,19,15,78.9%,167,11.1,1,7,52,8.8,1.3,13.9,1,2019,receiving
Maxx Williams,ARI,25,TE,16,10,19,15,78.9%,202,13.5,1,11,28,10.6,0.9,12.6,0,2019,receiving
Ryquell Armstead,JAX,23,,16,1,24,14,58.3%,144,10.3,2,9,31,6.0,0.9,9.0,0,2019,receiving
Kalen Ballage,MIA,24,RB,12,6,24,14,58.3%,63,4.5,0,4,13,2.6,1.2,5.3,0,2019,receiving
Trey Burton,CHI,28,te,8,5,24,14,58.3%,84,6.0,0,5,16,3.5,1.8,10.5,0,2019,receiving
Anthony Firkser,TEN,24,,15,1,24,14,58.3%,204,14.6,1,9,39,8.5,0.9,13.6,0,2019,receiving
Jeff Heuerman,DEN,27,TE,14,11,20,14,70.0%,114,8.1,1,9,26,5.7,1.0,8.1,0,2019,receiving
Marlon Mack,IND,23,RB,14,12,17,14,82.4%,82,5.9,0,2,14,4.8,1.0,5.9,0,2019,receiving
Raheem Mostert,SFO,27,,16,0,22,14,63.6%,180,12.9,2,6,39,8.2,0.9,11.3,2,2019,receiving
,,,,,,,,,,,,,,,,,,2019,receiving
James O'Shaughnessy,JAX,27,TE,5,5,20,14,70.0%,153,10.9,2,7,35,7.7,2.8,30.6,0,2019,receiving
Ricky Seals-Jones,CLE,24,/te,14,3,22,14,63.6%,229,16.4,4,10,59,10.4,1.0,16.4,1,2019,receiving
Tavon Austin,DAL,29,,14,0,24,13,54.2%,177,13.6,1,8,59,7.4,0.9,12.6,1,2019,receiving
Miles Boykin,BAL,23,WR,16,11,22,13,59.1%,198,15.2,3,10,50,9.0,0.8,12.4,0,2019,receiving
Derek Carrier,OAK,29,,16,4,19,13,68.4%,108,8.3,1,4,25,5.7,0.8,6.8,0,2019,receiving
Frank Gore,BUF,36,rb,16,8,16,13,81.3%,100,7.7,0,5,18,6.3,0.8,6.3,0,2019,receiving
Matt LaCosse,NWE,27,TE,11,8,19,13,68.4%,131,10.1,1,6,24,6.9,1.2,11.9,0,2019,receiving
Scott Miller,TAM,22,,10,2,26,13,50.0%,200,15.4,1,5,48,7.7,1.3,20.0,0,2019,receiving
Ty Montgomery,NYJ,26,/rb,16,2,17,13,76.5%,90,6.9,0,3,21,5.3,0.8,5.6,0,2019,receiving
Nick O'Leary,2TM,27,,12,5,18,13,72.2%,109,8.4,1,4,19,6.1,1.1,9.1,1,2019,receiving
Geoff Swaim,JAX,26,/te,6,2,17,13,76.5%,65,5.0,0,1,9,3.8,2.2,10.8,0,2019,receiving
T.J. Yeldon,BUF,26,,6,0,15,13,86.7%,124,9.5,0,6,23,8.3,2.2,20.7,1,2019,receiving
Seth Devalve,JAX,26,te,12,6,18,12,66.7%,140,11.7,0,7,20,7.8,1.0,11.7,0,2019,receiving
Chase Edmonds,ARI,23,,13,2,21,12,57.1%,105,8.8,1,5,31,5.0,0.9,8.1,0,2019,receiving
Marquise Goodwin,SFO,29,wr,9,6,21,12,57.1%,186,15.5,1,10,38,8.9,1.3,20.7,0,2019,receiving
N'Keal Harry,NWE,22,wr,7,5,24,12,50.0%,105,8.8,2,7,18,4.4,1.7,15.0,0,2019,receiving
Dontrell Hilliard,CLE,24,,14,0,15,12,80.0%,92,7.7,0,4,19,6.1,0.9,6.6,2,2019,receiving
Dontrelle Inman,2TM,30,,7,1,21,12,57.1%,181,15.1,0,9,28,8.6,1.7,25.9,0,2019,receiving
Jake Kumerow,GNB,27,,14,4,21,12,57.1%,219,18.3,1,8,49,10.4,0.9,15.6,0,2019,receiving
Sony Michel,NWE,24,RB,16,14,20,12,60.0%,94,7.8,0,7,19,4.7,0.8,5.9,2,2019,receiving
Byron Pringle,KAN,26,,16,0,16,12,75.0%,170,14.2,1,7,28,10.6,0.8,10.6,0,2019,receiving
Damion Ratley,CLE,24,,13,3,24,12,50.0%,200,16.7,1,11,46,8.3,0.9,15.4,0,2019,receiving
Duke Williams,BUF,27,,4,3,19,12,63.2%,166,13.8,1,8,41,8.7,3.0,41.5,0,2019,receiving
Christian Blake,ATL,23,,9,3,24,11,45.8%,91,8.3,0,5,13,3.8,1.2,10.1,0,2019,receiving
DeAndre Carter,HOU,26,,16,3,14,11,78.6%,162,14.7,0,6,46,11.6,0.7,10.1,2,2019,receiving
Keelan Doss,OAK,23,,8,2,14,11,78.6%,133,12.1,0,6,31,9.5,1.4,16.6,0,2019,receiving
Wayne Gallman,NYG,25,,10,2,15,11,73.3%,102,9.3,1,4,21,6.8,1.1,10.2,0,2019,receiving
Travis Homer,SEA,21,,16,1,13,11,84.6%,56,5.1,0,3,11,4.3,0.7,3.5,0,2019,receiving
Cordarrelle Patterson*+,CHI,28,,16,4,17,11,64.7%,83,7.5,0,3,33,4.9,0.7,5.2,0,2019,receiving
Dante Pettis,SFO,24,,11,4,24,11,45.8%,109,9.9,2,7,21,4.5,1.0,9.9,0,2019,receiving
,,,,,,,,,,,,,,,,,,2019,receiving
Ito Smith,ATL,24,,7,0,14,11,78.6%,87,7.9,0,2,11,6.2,1.6,12.4,0,2019,receiving
JJ Arcega-Whiteside,PHI,23,wr,16,5,22,10,45.5%,169,16.9,1,7,30,7.7,0.6,10.6,0,2019,receiving
Vernon Davis,WAS,35,/te,4,1,19,10,52.6%,123,12.3,1,4,48,6.5,2.5,30.8,0,2019,receiving
Brian Hill,ATL,24,,12,2,14,10,71.4%,69,6.9,1,4,12,4.9,0.8,5.8,0,2019,receiving
Mack Hollins,2TM,26,,16,3,23,10,43.5%,125,12.5,0,7,20,5.4,0.6,7.8,0,2019,receiving
Jordan Howard,PHI,25,/rb,10,4,14,10,71.4%,69,6.9,1,3,20,4.9,1.0,6.9,0,2019,receiving
Carlos Hyde,HOU,29,RB,16,14,16,10,62.5%,42,4.2,0,2,14,2.6,0.6,2.6,4,2019,receiving
Kerryon Johnson,DET,22,RB,8,7,15,10,66.7%,127,12.7,1,7,36,8.5,1.3,15.9,1,2019,receiving
Alexander Mattison,MIN,21,,13,0,12,10,83.3%,82,8.2,0,3,17,6.8,0.8,6.3,1,2019,receiving
C.J. Prosise,SEA,25,,9,0,12,10,83.3%,76,7.6,0,3,21,6.3,1.1,8.4,1,2019,receiving
Robert Tonyan,GNB,25,,11,1,15,10,66.7%,100,10.0,1,4,28,6.7,0.9,9.1,0,2019,receiving
Andrew Beck,DEN,23,te,16,6,12,9,75.0%,90,10.0,1,6,29,7.5,0.6,5.6,0,2019,receiving
Brandon Bolden,NWE,29,,15,2,11,9,81.8%,111,12.3,1,6,29,10.1,0.6,7.4,0,2019,receiving
Deon Cain,2TM,23,,13,6,20,9,45.0%,124,13.8,0,7,35,6.2,0.7,9.5,0,2019,receiving
Jaeden Graham,ATL,24,,16,0,10,9,90.0%,149,16.6,1,7,53,14.9,0.6,9.3,0,2019,receiving
Virgil Green,LAC,31,,15,4,13,9,69.2%,78,8.7,1,4,15,6.0,0.6,5.2,0,2019,receiving
Andy Isabella,ARI,23,,15,1,13,9,69.2%,189,21.0,1,4,88,14.5,0.6,12.6,0,2019,receiving
DeSean Jackson,PHI,33,,3,3,10,9,90.0%,159,17.7,2,6,53,15.9,3.0,53.0,0,2019,receiving
Justin Jackson,LAC,23,,7,0,11,9,81.8%,22,2.4,0,0,9,2.0,1.3,3.1,0,2019,receiving
Joshua Perkins,PHI,26,,5,0,13,9,69.2%,87,9.7,1,5,24,6.7,1.8,17.4,0,2019,receiving
Kalif Raymond,TEN,25,,8,1,12,9,75.0%,170,18.9,1,6,52,14.2,1.1,21.3,1,2019,receiving
Adam Shaheen,CHI,25,,8,2,13,9,69.2%,74,8.2,0,3,18,5.7,1.1,9.3,1,2019,receiving
Wendell Smallwood,WAS,25,,15,0,13,9,69.2%,64,7.1,0,4,18,4.9,0.6,4.3,0,2019,receiving
Darwin Thompson,KAN,22,,12,0,10,9,90.0%,43,4.8,0,2,19,4.3,0.8,3.6,0,2019,receiving
Laquon Treadwell,MIN,24,/wr,13,1,16,9,56.3%,184,20.4,1,8,58,11.5,0.7,14.2,0,2019,receiving
Damion Willis,CIN,22,,10,2,16,9,56.3%,82,9.1,0,3,17,5.1,0.9,8.2,0,2019,receiving
Mo Alie-Cox,IND,26,,16,2,11,8,72.7%,93,11.6,0,5,21,8.5,0.5,5.8,0,2019,receiving
Dan Arnold,2TM,24,,5,1,14,8,57.1%,127,15.9,2,6,37,9.1,1.6,25.4,0,2019,receiving
Blake Bell,KAN,28,TE,15,7,15,8,53.3%,67,8.4,0,3,30,4.5,0.5,4.5,0,2019,receiving
Antonio Callaway,CLE,22,,4,2,15,8,53.3%,89,11.1,0,3,41,5.9,2.0,22.3,0,2019,receiving
,,,,,,,,,,,,,,,,,,2019,receiving
Tyler Conklin,MIN,24,,15,1,10,8,80.0%,58,7.3,0,2,20,5.8,0.5,3.9,0,2019,receiving
Trevor Davis,3TM,26,,14,4,11,8,72.7%,111,13.9,0,4,28,10.1,0.6,7.9,3,2019,receiving
Hale Hentges,WAS,23,,11,4,14,8,57.1%,103,12.9,1,6,24,7.4,0.7,9.4,0,2019,receiving
Justice Hill,BAL,22,,16,0,15,8,53.3%,70,8.8,0,5,14,4.7,0.5,4.4,0,2019,receiving
Chris Hogan,CAR,32,/wr,7,1,15,8,53.3%,67,8.4,0,3,13,4.5,1.1,9.6,0,2019,receiving
Jesper Horsted,CHI,22,,6,1,10,8,80.0%,87,10.9,1,4,20,8.7,1.3,14.5,1,2019,receiving
Rashaad Penny,SEA,23,,10,0,11,8,72.7%,83,10.4,1,3,30,7.5,0.8,8.3,1,2019,receiving
Patrick Ricard*,BAL,25,FB,16,7,11,8,72.7%,47,5.9,1,3,10,4.3,0.5,2.9,0,2019,receiving
Luke Stocker,ATL,31,te,15,9,14,8,57.1%,53,6.6,0,2,18,3.8,0.5,3.5,1,2019,receiving
Tommy Sweeney,BUF,24,,6,1,13,8,61.5%,114,14.3,0,4,29,8.8,1.3,19.0,0,2019,receiving
Ryan Switzer,PIT,25,,9,0,11,8,72.7%,27,3.4,0,2,8,2.5,0.9,3.0,1,2019,receiving
Luke Willson,SEA,29,te,8,7,10,8,80.0%,79,9.9,0,5,17,7.9,1.0,9.9,0,2019,receiving
Brandon Zylstra,CAR,26,,8,0,12,8,66.7%,106,13.3,0,5,40,8.8,1.0,13.3,1,2019,receiving
Daniel Brown,NYJ,27,wr,16,5,11,7,63.6%,72,10.3,1,4,24,6.5,0.4,4.5,0,2019,receiving
Mike Davis,2TM,26,,12,1,8,7,87.5%,22,3.1,0,1,7,2.8,0.6,1.8,0,2019,receiving
Gus Edwards,BAL,24,,16,1,7,7,100.0%,45,6.4,0,2,10,6.4,0.4,2.8,2,2019,receiving
Myles Gaskin,MIA,22,,7,0,12,7,58.3%,51,7.3,0,2,20,4.3,1.0,7.3,0,2019,receiving
Derrius Guice,WAS,22,,5,1,9,7,77.8%,79,11.3,1,2,45,8.8,1.4,15.8,0,2019,receiving
Marvin Hall,DET,26,,9,0,11,7,63.6%,261,37.3,1,7,58,23.7,0.8,29.0,0,2019,receiving
J.P. Holtz,2TM,26,,15,7,8,7,87.5%,91,13.0,0,4,30,11.4,0.5,6.1,0,2019,receiving
Bilal Powell,NYJ,31,/rb,13,1,12,7,58.3%,33,4.7,0,0,9,2.8,0.5,2.5,0,2019,receiving
Durham Smythe,MIA,24,TE,16,14,14,7,50.0%,65,9.3,0,2,24,4.6,0.4,4.1,0,2019,receiving
Danny Vitale,GNB,26,,15,4,12,7,58.3%,97,13.9,0,3,27,8.1,0.5,6.5,0,2019,receiving
Jordan Wilkins,IND,25,,14,1,11,7,63.6%,43,6.1,0,1,11,3.9,0.5,3.1,0,2019,receiving
Kenjon Barner,ATL,30,,14,0,8,6,75.0%,22,3.7,0,1,13,2.8,0.4,1.6,4,2019,receiving
Travis Benjamin,LAC,30,/wr,5,2,16,6,37.5%,30,5.0,0,3,13,1.9,1.2,6.0,0,2019,receiving
Braxton Berrios,NYJ,24,,16,0,13,6,46.2%,115,19.2,0,3,69,8.8,0.4,7.2,1,2019,receiving
Reggie Bonnafon,CAR,23,,16,0,9,6,66.7%,57,9.5,0,1,32,6.3,0.4,3.6,0,2019,receiving
Devontae Booker,DEN,27,,16,0,9,6,66.7%,57,9.5,0,1,25,6.3,0.4,3.6,0,2019,receiving
Ben Braunecker,CHI,25,,11,3,11,6,54.5%,59,9.8,1,5,18,5.4,0.5,5.4,0,2019,receiving
,,,,,,,,,,,,,,,,,,2019,receiving
Trey Edmunds,PIT,25,,11,0,7,6,85.7%,48,8.0,0,2,11,6.9,0.5,4.4,0,2019,receiving
Troy Fumagalli,DEN,24,te,11,5,9,6,66.7%,38,6.3,1,1,9,4.2,0.5,3.5,0,2019,receiving
Deonte Harris*+,NOR,22,,14,1,6,6,100.0%,24,4.0,0,2,13,4.0,0.4,1.7,3,2019,receiving
Alec Ingold,OAK,23,,16,4,6,6,100.0%,44,7.3,1,4,14,7.3,0.4,2.8,0,2019,receiving
Ryan Izzo,NWE,24,,6,4,9,6,66.7%,114,19.0,1,4,41,12.7,1.0,19.0,0,2019,receiving
Richie James,SFO,24,,16,1,10,6,60.0%,165,27.5,1,5,57,16.5,0.4,10.3,1,2019,receiving
D'Ernest Johnson,CLE,23,,16,0,7,6,85.7%,71,11.8,0,1,27,10.1,0.4,4.4,0,2019,receiving
Tyler Kroft,BUF,27,,11,3,14,6,42.9%,71,11.8,1,5,20,5.1,0.5,6.5,0,2019,receiving
Zach Line,NOR,29,/fb,12,2,10,6,60.0%,36,6.0,0,1,12,3.6,0.5,3.0,0,2019,receiving
Andre Patton,LAC,25,WR,13,5,17,6,35.3%,56,9.3,0,4,15,3.3,0.5,4.3,0,2019,receiving
MyCole Pruitt,TEN,27,TE,16,10,8,6,75.0%,90,15.0,1,4,42,11.3,0.4,5.6,0,2019,receiving
Riley Ridley,CHI,23,,5,0,7,6,85.7%,69,11.5,0,4,32,9.9,1.2,13.8,0,2019,receiving
Diontae Spencer,DEN,27,,16,2,8,6,75.0%,31,5.2,0,1,20,3.9,0.4,1.9,3,2019,receiving
Darren Sproles,PHI,36,/rb,6,1,10,6,60.0%,24,4.0,0,1,7,2.4,1.0,4.0,1,2019,receiving
Marcell Ateman,OAK,25,,11,0,10,5,50.0%,116,23.2,0,4,36,11.6,0.5,10.5,1,2019,receiving
Stephen Carlson,CLE,23,te,9,5,7,5,71.4%,51,10.2,1,2,21,7.3,0.6,5.7,0,2019,receiving
Patrick DiMarco,BUF,30,fb,16,4,7,5,71.4%,41,8.2,0,1,27,5.9,0.3,2.6,0,2019,receiving
Andy Janovich,DEN,26,/fb,7,3,5,5,100.0%,42,8.4,0,1,22,8.4,0.7,6.0,0,2019,receiving
David Njoku,CLE,23,,4,1,10,5,50.0%,41,8.2,1,3,18,4.1,1.3,10.3,0,2019,receiving
Drew Sample,CIN,23,,9,2,6,5,83.3%,30,6.0,0,1,21,5.0,0.6,3.3,0,2019,receiving
Devin Smith,DAL,27,,4,2,9,5,55.6%,113,22.6,1,4,51,12.6,1.3,28.3,0,2019,receiving
Spencer Ware,KAN,28,,3,1,7,5,71.4%,22,4.4,0,1,18,3.1,1.7,7.3,1,2019,receiving
Jonathan Williams,IND,25,,9,1,5,5,100.0%,59,11.8,0,3,31,11.8,0.6,6.6,0,2019,receiving
Cedrick Wilson Jr.,DAL,24,,6,0,8,5,62.5%,46,9.2,0,2,14,5.8,0.8,7.7,0,2019,receiving
Nick Bawden,DET,23,,10,2,6,4,66.7%,17,4.3,0,1,10,2.8,0.4,1.7,0,2019,receiving
Khari Blasingame,TEN,23,,6,3,5,4,80.0%,54,13.5,0,2,24,10.8,0.7,9.0,0,2019,receiving
Antonio Brown,NWE,31,,1,0,8,4,50.0%,56,14.0,1,3,20,7.0,4.0,56.0,0,2019,receiving
Tra Carson,2TM,27,,3,1,4,4,100.0%,18,4.5,0,0,8,4.5,1.3,6.0,0,2019,receiving
Michael Crabtree,ARI,32,,2,1,5,4,80.0%,22,5.5,0,0,9,4.4,2.0,11.0,0,2019,receiving
Ryan Grant,OAK,29,,2,1,9,4,44.4%,14,3.5,0,1,9,1.6,2.0,7.0,0,2019,receiving
,,,,,,,,,,,,,,,,,,2019,receiving
Darrell Henderson,LAR,22,,13,0,6,4,66.7%,37,9.3,0,1,14,6.2,0.3,2.8,0,2019,receiving
Rashard Higgins,CLE,25,,10,1,11,4,36.4%,55,13.8,1,3,35,5.0,0.4,5.5,0,2019,receiving
KhaDarel Hodge,CLE,24,,16,1,10,4,40.0%,76,19.0,0,3,41,7.6,0.3,4.8,0,2019,receiving
Tevin Jones,PIT,27,,5,0,10,4,40.0%,61,15.3,0,1,28,6.1,0.8,12.2,0,2019,receiving
Jordan Matthews,2TM,27,,3,1,12,4,33.3%,33,8.3,0,1,10,2.8,1.3,11.0,0,2019,receiving
Donte Moncrief,2TM,26,,8,2,15,4,26.7%,18,4.5,0,1,11,1.2,0.5,2.3,0,2019,receiving
Johnny Mundt,LAR,25,,13,2,7,4,57.1%,26,6.5,0,1,9,3.7,0.3,2.0,0,2019,receiving
JJ Nelson,OAK,27,,2,1,5,4,80.0%,36,9.0,1,1,29,7.2,2.0,18.0,0,2019,receiving
Trent Sherfield,ARI,23,,16,1,13,4,30.8%,80,20.0,0,4,38,6.2,0.3,5.0,0,2019,receiving
Lee Smith,BUF,32,wr,16,5,5,4,80.0%,31,7.8,1,2,9,6.2,0.3,1.9,0,2019,receiving
Ross Travis,IND,26,,3,1,6,4,66.7%,51,12.8,0,1,25,8.5,1.3,17.0,1,2019,receiving
Clive Walford,MIA,28,,7,3,8,4,50.0%,57,14.3,0,4,19,7.1,0.6,8.1,0,2019,receiving
DeAndrew White,CAR,28,,10,0,9,4,44.4%,51,12.8,0,3,18,5.7,0.4,5.1,0,2019,receiving
Mike Boone,MIN,24,,16,2,4,3,75.0%,17,5.7,0,0,7,4.3,0.2,1.1,0,2019,receiving
Cody Core,NYG,25,,16,0,5,3,60.0%,28,9.3,0,2,11,5.6,0.2,1.8,0,2019,receiving
Geremy Davis,LAC,27,/wr,7,1,3,3,100.0%,38,12.7,0,1,19,12.7,0.4,5.4,0,2019,receiving
Robert Foster,BUF,25,,13,2,18,3,16.7%,64,21.3,0,3,24,3.6,0.2,4.9,0,2019,receiving
Devin Funchess,IND,25,/wr,1,1,5,3,60.0%,32,10.7,0,2,16,6.4,3.0,32.0,0,2019,receiving
Jon Hilliman,NYG,24,,3,1,4,3,75.0%,1,0.3,0,0,5,0.3,1.0,0.3,2,2019,receiving
Johnny Holton,PIT,29,/wr,16,3,15,3,20.0%,21,7.0,0,1,18,1.4,0.2,1.3,0,2019,receiving
T.J. Jones,NYG,27,,3,0,4,3,75.0%,38,12.7,1,2,28,9.5,1.0,12.7,3,2019,receiving
Lance Kendricks,LAC,31,/te,12,1,7,3,42.9%,50,16.7,0,3,24,7.1,0.3,4.2,0,2019,receiving
Chris Lacy,DET,23,,7,2,10,3,30.0%,60,20.0,0,2,48,6.0,0.4,8.6,0,2019,receiving
Marqise Lee,JAX,28,,6,1,4,3,75.0%,18,6.0,0,2,8,4.5,0.5,3.0,0,2019,receiving
Chris Moore,BAL,26,,14,1,5,3,60.0%,21,7.0,0,0,13,4.2,0.2,1.5,0,2019,receiving
Stanley Morgan Jr.,CIN,23,,11,0,10,3,30.0%,18,6.0,0,0,9,1.8,0.3,1.6,0,2019,receiving
Josh Oliver,JAX,22,,4,1,6,3,50.0%,15,5.0,0,0,6,2.5,0.8,3.8,0,2019,receiving
Devine Ozigbo,JAX,23,,10,0,5,3,60.0%,23,7.7,0,1,12,4.6,0.3,2.3,0,2019,receiving
Andre Roberts*,BUF,31,,13,0,7,3,42.9%,20,6.7,0,1,7,2.9,0.2,1.5,1,2019,receiving
Russell Shepard,NYG,29,,3,0,8,3,37.5%,25,8.3,0,1,12,3.1,1.0,8.3,0,2019,receiving
,,,,,,,,,,,,,,,,,,2019,receiving
Benny Snell Jr.,PIT,21,,13,2,4,3,75.0%,23,7.7,0,0,14,5.8,0.2,1.8,1,2019,receiving
Derek Watt,LAC,27,/fb,16,2,5,3,60.0%,32,10.7,0,1,21,6.4,0.2,2.0,0,2019,receiving
Bobo Wilson,TAM,24,,6,1,11,3,27.3%,35,11.7,0,2,14,3.2,0.5,5.8,3,2019,receiving
Jeff Wilson,SFO,24,,10,0,5,3,60.0%,34,11.3,1,1,25,6.8,0.3,3.4,0,2019,receiving
Deon Yelder,KAN,24,,9,1,4,3,75.0%,50,16.7,0,2,24,12.5,0.3,5.6,0,2019,receiving
Olamide Zaccheaus,ATL,22,,10,0,5,3,60.0%,115,38.3,1,2,93,23.0,0.3,11.5,0,2019,receiving
Alex Armah,CAR,25,,16,1,2,2,100.0%,6,3.0,0,0,4,3.0,0.1,0.4,0,2019,receiving
Chad Beebe,MIN,25,,3,0,2,2,100.0%,70,35.0,0,2,61,35.0,0.7,23.3,3,2019,receiving
Josh Bellamy,NYJ,30,,7,0,3,2,66.7%,20,10.0,0,1,15,6.7,0.3,2.9,0,2019,receiving
Nick Bellore,SEA,30,,14,1,2,2,100.0%,23,11.5,1,2,20,11.5,0.1,1.6,0,2019,receiving
C.J. Board,JAX,26,,4,0,4,2,50.0%,31,15.5,0,1,23,7.8,0.5,7.8,0,2019,receiving
Fred Brown,DEN,26,,13,1,3,2,66.7%,21,10.5,0,1,16,7.0,0.2,1.6,1,2019,receiving
Malcolm Brown,LAR,26,,14,1,6,2,33.3%,16,8.0,0,0,10,2.7,0.1,1.1,0,2019,receiving
Pharaoh Brown,CLE,25,TE,9,6,3,2,66.7%,27,13.5,0,1,18,9.0,0.2,3.0,0,2019,receiving
Deontay Burnett,PHI,22,,1,1,4,2,50.0%,48,24.0,0,1,41,12.0,2.0,48.0,0,2019,receiving
Cethan Carter,CIN,24,,15,0,3,2,66.7%,13,6.5,1,2,8,4.3,0.1,0.9,0,2019,receiving
Robert Davis,2TM,24,,6,3,5,2,40.0%,17,8.5,0,2,11,3.4,0.3,2.8,0,2019,receiving
Ashton Dulin,IND,22,,13,0,2,2,100.0%,17,8.5,0,0,13,8.5,0.2,1.3,0,2019,receiving
Tyler Ervin,2TM,26,,10,0,4,2,50.0%,11,5.5,0,1,6,2.8,0.2,1.1,2,2019,receiving
Rico Gafford,OAK,23,,4,1,2,2,100.0%,66,33.0,1,2,49,33.0,0.5,16.5,0,2019,receiving
Wes Hills,DET,24,,1,1,2,2,100.0%,1,0.5,0,0,2,0.5,2.0,1.0,0,2019,receiving
Alexander Hollins,MIN,23,,5,1,4,2,50.0%,46,23.0,0,2,35,11.5,0.4,9.2,0,2019,receiving
Cody Hollister,TEN,26,,5,0,2,2,100.0%,13,6.5,0,0,11,6.5,0.4,2.6,0,2019,receiving
Tanner Hudson,TAM,25,,9,1,5,2,40.0%,26,13.0,0,1,14,5.2,0.2,2.9,0,2019,receiving
Ishmael Hyman,TAM,24,,2,1,4,2,50.0%,34,17.0,0,2,31,8.5,1.0,17.0,0,2019,receiving
Darius Jennings,TEN,27,,8,0,5,2,40.0%,17,8.5,0,2,11,3.4,0.3,2.1,0,2019,receiving
T.J. Logan,TAM,25,,12,0,3,2,66.7%,13,6.5,0,1,11,4.3,0.2,1.1,0,2019,receiving
Steven Mitchell,HOU,25,,3,1,6,2,33.3%,37,18.5,0,2,21,6.2,0.7,12.3,0,2019,receiving
Jason Moore,LAC,24,,10,0,5,2,40.0%,43,21.5,0,2,32,8.6,0.2,4.3,0,2019,receiving
Isaac Nauta,DET,22,,6,0,3,2,66.7%,13,6.5,0,1,10,4.3,0.3,2.2,0,2019,receiving
,,,,,,,,,,,,,,,,,,2019,receiving
Roosevelt Nix,PIT,27,,3,0,3,2,66.7%,4,2.0,0,0,4,1.3,0.7,1.3,0,2019,receiving
Gunner Olszewski,NWE,23,,8,0,4,2,50.0%,34,17.0,0,1,29,8.5,0.3,4.3,1,2019,receiving
Elijhaa Penny,NYG,26,,16,1,4,2,50.0%,9,4.5,0,0,9,2.3,0.1,0.6,0,2019,receiving
Troymaine Pope,LAC,26,,14,0,3,2,66.7%,14,7.0,1,1,13,4.7,0.1,1.0,1,2019,receiving
Eric Saubert,CHI,25,,2,0,3,2,66.7%,21,10.5,0,1,11,7.0,1.0,10.5,0,2019,receiving
Da'Mari Scott,NYG,24,,5,2,3,2,66.7%,22,11.0,0,2,11,7.3,0.4,4.4,0,2019,receiving
Anthony Sherman,KAN,31,,16,0,3,2,66.7%,22,11.0,0,2,15,7.3,0.1,1.4,0,2019,receiving
Scott Simonson,NYG,27,/te,5,1,2,2,100.0%,11,5.5,0,1,10,5.5,0.4,2.2,0,2019,receiving
Cam Sims,WAS,23,,7,1,3,2,66.7%,27,13.5,0,1,15,9.0,0.3,3.9,0,2019,receiving
Mike Thomas,LAR,25,,16,0,5,2,40.0%,14,7.0,0,1,9,2.8,0.1,0.9,0,2019,receiving
Levine Toilolo,SFO,28,,13,0,2,2,100.0%,10,5.0,0,0,8,5.0,0.2,0.8,0,2019,receiving
Michael Walker,JAX,23,,7,0,3,2,66.7%,15,7.5,0,1,9,5.0,0.3,2.1,2,2019,receiving
Trevon Wesco,NYJ,24,,16,1,3,2,66.7%,47,23.5,0,2,32,15.7,0.1,2.9,0,2019,receiving
Zach Zenner,3TM,28,,5,0,3,2,66.7%,19,9.5,0,2,13,6.3,0.4,3.8,0,2019,receiving
Jamal Agnew,DET,24,,13,0,2,1,50.0%,-2,-2.0,0,0,-2,-1.0,0.1,-0.2,1,2019,receiving
Javorius Allen,NYG,28,,10,0,2,1,50.0%,9,9.0,0,0,9,4.5,0.1,0.9,0,2019,receiving
Antony Auclair,TAM,26,te,8,5,3,1,33.3%,11,11.0,0,1,11,3.7,0.1,1.4,0,2019,receiving
