Player ID,G,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,RS,PW
gorzt001,314.0,121.0,1.0,1.0,43.0,2.0,883.2,890.0,3874.0,98.0,462.0,432.0,387.0,19.0,714.0,35.0,36.0,26.0,33.0,3.0,189.0,20.0,86.0,47.0,50.0,53.0,4.4,4.25,-4.7
goslm001,58.0,9.0,0.0,0.0,19.0,0.0,117.0,139.0,551.0,18.0,72.0,63.0,72.0,12.0,74.0,6.0,1.0,3.0,4.0,0.0,41.0,2.0,17.0,10.0,3.0,4.0,4.85,4.0,-0.6
gossd001,23.0,23.0,0.0,0.0,0.0,0.0,115.2,141.0,516.0,26.0,81.0,76.0,39.0,0.0,84.0,2.0,2.0,11.0,1.0,0.0,33.0,1.0,10.0,8.0,4.0,14.0,5.91,4.22,-2.5
gossr001,1002.0,37.0,16.0,0.0,681.0,310.0,1809.1,1497.0,7507.0,119.0,670.0,605.0,732.0,90.0,1502.0,106.0,67.0,63.0,47.0,5.0,237.0,37.0,129.0,89.0,124.0,107.0,3.01,2.81,29.7
gottj001,554.0,96.0,10.0,3.0,261.0,91.0,1120.0,1081.0,4828.0,85.0,546.0,481.0,466.0,63.0,837.0,57.0,30.0,52.0,23.0,15.0,173.0,27.0,84.0,76.0,56.0,74.0,3.87,4.17,1.7
gottt001,146.0,0.0,0.0,0.0,25.0,5.0,140.0,133.0,608.0,18.0,81.0,78.0,57.0,6.0,116.0,3.0,9.0,5.0,9.0,0.0,18.0,4.0,8.0,3.0,13.0,6.0,5.01,0,-2.1
gozzm001,48.0,13.0,0.0,0.0,13.0,1.0,124.0,150.0,566.0,9.0,87.0,73.0,51.0,12.0,55.0,6.0,8.0,8.0,2.0,0.0,40.0,2.0,14.0,14.0,7.0,7.0,5.3,6.08,-1.5
grabj002,506.0,0.0,0.0,0.0,111.0,6.0,476.1,481.0,2105.0,55.0,250.0,228.0,220.0,23.0,400.0,28.0,14.0,18.0,12.0,5.0,87.0,7.0,42.0,31.0,24.0,19.0,4.31,0,-0.7
gracm003,181.0,2.0,0.0,0.0,42.0,2.0,177.1,198.0,772.0,20.0,98.0,90.0,51.0,8.0,134.0,5.0,9.0,5.0,8.0,0.0,35.0,3.0,17.0,11.0,5.0,5.0,4.57,5.0,-1.2
grahb101,6.0,3.0,1.0,0.0,0.0,0.0,29.1,22.0,119.0,3.0,10.0,8.0,11.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,1.0,2.0,2.45,1.67,0.1
grahj001,187.0,39.0,1.0,0.0,101.0,45.0,400.1,451.0,1812.0,27.0,223.0,196.0,182.0,13.0,204.0,13.0,17.0,18.0,26.0,4.0,82.0,7.0,45.0,32.0,22.0,30.0,4.41,4.1,-0.6
grahj002,40.0,1.0,0.0,0.0,19.0,0.0,65.1,76.0,292.0,10.0,43.0,37.0,22.0,0.0,55.0,2.0,2.0,5.0,4.0,1.0,12.0,2.0,7.0,5.0,1.0,1.0,5.1,2.0,-0.4
grama001,5.0,2.0,0.0,0.0,2.0,0.0,6.1,17.0,40.0,2.0,13.0,13.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,18.47,9.0,-0.5
granj001,27.0,2.0,0.0,0.0,6.0,0.0,31.2,47.0,167.0,8.0,34.0,32.0,26.0,1.0,19.0,0.0,2.0,4.0,2.0,0.0,12.0,4.0,4.0,2.0,0.0,1.0,9.09,4.0,-0.7
granj101,571.0,293.0,89.0,18.0,160.0,54.0,2442.0,2292.0,10293.0,292.0,1105.0,985.0,849.0,59.0,1267.0,97.0,64.0,60.0,33.0,3.0,337.0,57.0,209.0,163.0,145.0,119.0,3.63,4.71,1.8
granm001,233.0,58.0,2.0,1.0,68.0,8.0,638.2,676.0,2743.0,72.0,334.0,306.0,235.0,36.0,382.0,39.0,18.0,24.0,10.0,5.0,132.0,14.0,67.0,38.0,22.0,32.0,4.31,3.74,-3.3
granw101,451.0,0.0,0.0,0.0,270.0,108.0,638.2,632.0,2718.0,47.0,290.0,223.0,201.0,57.0,303.0,40.0,20.0,15.0,22.0,3.0,87.0,15.0,81.0,69.0,35.0,35.0,3.14,0,3.1
grapr001,19.0,1.0,0.0,0.0,6.0,2.0,34.0,36.0,151.0,5.0,24.0,24.0,16.0,2.0,16.0,2.0,3.0,0.0,1.0,0.0,5.0,0.0,3.0,1.0,1.0,3.0,6.35,3.0,-0.7
gratb002,33.0,2.0,0.0,0.0,5.0,0.0,33.0,28.0,128.0,2.0,14.0,13.0,5.0,1.0,23.0,0.0,3.0,2.0,4.0,0.0,3.0,0.0,7.0,0.0,2.0,3.0,3.55,7.5,0.5
gratm001,9.0,0.0,0.0,0.0,3.0,0.0,8.0,11.0,40.0,0.0,3.0,3.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.38,0,0.1
gravd001,518.0,30.0,2.0,1.0,360.0,182.0,808.1,857.0,3487.0,96.0,416.0,364.0,271.0,48.0,429.0,31.0,29.0,27.0,26.0,2.0,177.0,19.0,98.0,52.0,43.0,44.0,4.05,3.67,5.8
gravk001,94.0,80.0,3.0,1.0,2.0,0.0,464.2,499.0,1985.0,60.0,241.0,229.0,138.0,3.0,301.0,3.0,10.0,14.0,17.0,0.0,88.0,9.0,49.0,22.0,24.0,32.0,4.44,3.92,-2.0
