Player ID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BFW
andrm101,893.0,3116.0,441.0,803.0,140.0,4.0,66.0,316.0,458.0,12.0,390.0,16.0,72.0,23.0,0.0,53.0,50.0,18.0,25.0,0.258,0.353,0.369,5.2
andrr101,493.0,1454.0,174.0,365.0,30.0,15.0,3.0,91.0,148.0,6.0,121.0,0.0,27.0,12.0,2.0,35.0,35.0,33.0,16.0,0.251,0.318,0.298,-2.2
andrs001,569.0,1704.0,196.0,375.0,76.0,4.0,86.0,263.0,191.0,17.0,515.0,7.0,3.0,19.0,0.0,21.0,35.0,7.0,10.0,0.22,0.298,0.421,-0.5
andum001,187.0,689.0,89.0,195.0,51.0,3.0,28.0,102.0,30.0,2.0,117.0,4.0,0.0,5.0,0.0,12.0,14.0,3.0,1.0,0.283,0.315,0.488,-1.4
annad001,13.0,23.0,3.0,3.0,1.0,0.0,1.0,3.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13,0.192,0.304,-0.3
anthe001,682.0,1999.0,249.0,462.0,81.0,8.0,78.0,269.0,217.0,22.0,491.0,5.0,3.0,19.0,1.0,28.0,34.0,24.0,14.0,0.231,0.305,0.397,-6.5
aokin001,759.0,2716.0,377.0,774.0,135.0,22.0,33.0,219.0,234.0,3.0,258.0,48.0,30.0,15.0,1.0,50.0,49.0,98.0,44.0,0.285,0.35,0.387,-1.2
aparl101,2599.0,10230.0,1335.0,2677.0,394.0,92.0,83.0,791.0,736.0,22.0,742.0,27.0,161.0,76.0,0.0,209.0,184.0,506.0,136.0,0.262,0.311,0.343,15.6
aquia001,80.0,253.0,38.0,61.0,9.0,0.0,21.0,55.0,22.0,2.0,79.0,5.0,0.0,2.0,0.0,2.0,6.0,8.0,0.0,0.241,0.312,0.526,0.4
arcij101,293.0,615.0,78.0,132.0,24.0,6.0,1.0,35.0,29.0,1.0,107.0,9.0,9.0,0.0,0.0,10.0,10.0,17.0,13.0,0.215,0.26,0.278,-3.3
arcio001,288.0,983.0,103.0,231.0,40.0,6.0,44.0,131.0,76.0,8.0,339.0,13.0,0.0,3.0,0.0,9.0,13.0,3.0,5.0,0.235,0.298,0.422,-1.8
arcio002,538.0,1722.0,182.0,421.0,69.0,7.0,42.0,179.0,123.0,14.0,375.0,4.0,5.0,11.0,0.0,28.0,50.0,39.0,16.0,0.244,0.295,0.366,2.1
ardod001,165.0,423.0,50.0,87.0,17.0,1.0,8.0,35.0,42.0,4.0,124.0,13.0,8.0,2.0,0.0,4.0,13.0,2.0,1.0,0.206,0.296,0.307,0.1
