Player Name,Team,Game
Chone Figgins,ANA,9-16-2006
Fred Lewis,SF,5-13-2007
Mark Ellis,OAK,6-4-2007
Aubrey Huff,BAL,6-29-2007
Carlos Gomez,MIN,5-7-2008
Mark Kotsay,ATL,8-14-2008
Cristian Guzman,WAS,8-28-2008
Adrian Beltre,SEA,9-1-2008
Stephen Drew,ARI,9-1-2008
Orlando Hudson,LA,4-13-2009
Ian Kinsler,TEX,4-15-2009
Jason Kubel,MIN,4-17-2009
Michael Cuddyer,MIN,5-22-2009
Melky Cabrera,NY,8-2-2009
Troy Tulowitzki,COL,8-10-2009
Felix Pie,BAL,8-14-2009
Melvin Upton,TB,10-2-2009
Jody Gerut,MIL,5-8-2010
Bengie Molina,TEX,7-16-2010
Kelly Johnson,ARI,7-23-2010
Carlos Gonzalez,COL,7-31-2010
George Kottaras,MIL,9-3-2011
Pablo Sandoval,SF,9-15-2011
Scott Hairston,NY,4-27-2012
Aaron Hill,ARI,6-18-2012
Aaron Hill,ARI,6-29-2012
Adrian Beltre,TEX,8-24-2012
Mike Trout,ANA,5-21-2013
Brandon Barnes,HOU,7-19-2013
Alex Rios,TEX,9-23-2013
Michael Cuddyer,COL,8-17-2014
Brock Holt,BOS,6-16-2015
Shin-Soo Choo,TEX,7-21-2015
Adrian Beltre,TEX,8-3-2015
Matt Kemp,SD,8-14-2015
Freddie Freeman,ATL,6-15-2016
Rajai Davis,CLE,7-2-2016
John Jaso,PIT,9-28-2016
Wil Myers,SD,4-10-2017
Trea Turner,WAS,4-25-2017
Carlos Gomez,TEX,4-29-2017
Nolan Arenado,COL,6-18-2017
Cody Bellinger,LA,7-15-2017
Evan Longoria,TB,8-1-2017
Jose Abreu,CHI,9-9-2017
Mookie Betts,BOS,8-9-2018
Christian Yelich,MIL,8-29-2018
Christian Yelich,MIL,9-17-2018
Charlie Blackmon,COL,9-30-2018
Brock Holt,BOS,10-8-2018
Jorge Polanco,MIN,4-5-2019
Shohei Ohtani,ANA,6-13-2019
Jake Bauers,CLE,6-14-2019
Trea Turner,WAS,7-23-2019
Jonathan Villar,BAL,8-5-2019
Cavan Biggio,TOR,9-17-2019
