Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year,Category
Kyle Williams*,BUF,33,LDE,15,15,,,,,,,,,,,5.0,64,42,22,11,15,,2016,defense
Wesley Woodyard,TEN,30,LILB,16,10,1,21,0,21,5,,,,,,2.0,57,42,15,6,4,,2016,defense
Eli Apple,NYG,21,LCB,14,11,1,0,0,0,7,1,0,2,0,0,0.0,51,41,10,4,0,,2016,defense
Ahmad Brooks,SFO,32,LOLB,16,16,0,0,0,0,4,1,0,0,0,0,6.0,53,41,12,10,8,,2016,defense
Nolan Carroll,PHI,29,RCB,16,16,1,0,0,0,11,1,0,0,0,0,0.0,55,41,14,0,0,,2016,defense
Markus Golden,ARI,25,,16,3,0,0,0,0,1,4,0,0,0,0,12.5,51,41,10,16,22,,2016,defense
Brandon Graham,PHI,28,LDE,16,16,0,0,0,0,1,2,0,1,4,0,5.5,59,41,18,14,22,,2016,defense
Dominique Rodgers-Cromartie,NYG,30,lcb,15,9,6,28,0,28,21,1,0,0,0,0,1.0,49,41,8,2,1,,2016,defense
Ndamukong Suh*,MIA,29,LDT,16,16,0,0,0,0,6,0,0,1,0,0,5.0,72,41,31,11,17,,2016,defense
Anthony Brown,DAL,23,rcb,16,9,1,0,0,0,8,1,0,0,0,0,0.0,55,40,15,2,0,,2016,defense
Jadeveon Clowney*,HOU,23,RDE,14,14,0,0,0,0,2,1,0,0,0,0,6.0,52,40,12,16,17,,2016,defense
Ken Crawley,NOR,23,rcb,15,5,0,0,0,0,8,1,0,1,0,0,0.0,43,40,3,2,0,,2016,defense
Neville Hewitt,MIA,23,rlb,16,5,0,0,0,0,1,0,1,1,0,0,1.0,64,40,24,4,1,,2016,defense
Cameron Jordan,NOR,27,RDE,16,16,0,0,0,0,6,1,0,0,0,0,7.5,58,40,18,17,24,,2016,defense
,,,,,,,,,,,,,,,,,,,,,,,2016,defense
Devon Kennard,NYG,25,LLB,16,9,0,0,0,0,1,1,0,1,0,0,1.0,61,40,21,4,5,,2016,defense
